t_s,total_steps,cadence_spm,activity
4.00,2,58.8,walking
5.00,3,53.1,walking
6.00,4,58.8,walking
7.00,6,64.2,walking
8.00,7,65.9,walking
9.00,8,73.2,walking
10.00,9,78.9,walking
11.00,10,78.9,walking
12.00,12,76.9,walking
13.00,12,76.9,walking
14.00,13,76.9,walking
15.00,15,70.0,walking
16.00,15,70.0,walking
17.00,16,70.0,walking
18.00,17,70.6,walking
19.00,18,64.9,walking
20.00,19,55.2,walking
21.00,20,70.2,walking
22.00,21,71.0,walking
23.00,22,80.3,walking
24.00,22,,still
25.00,22,,still
26.00,25,40.1,walking
27.00,26,44.3,walking
28.00,26,,still
29.00,26,,still
30.00,26,,still
31.00,26,,still
32.00,26,,still
33.00,26,,still
34.00,26,,still
35.00,26,,still
36.00,26,,still
